ID;Woonplaatscode;Woonplaats;ProvincieCode;Gemeentecode;ProvincieName
1218;WP2098    ;Duiven                             ;;;
1219;WP3068    ;Oldebroek                          ;;;
1220;WP2392    ;Assen                              ;;;
1221;WP3053    ;Loon op Zand                       ;;;
1222;WP3061    ;Bernheze                           ;;;
1223;WP3537    ;Wijdemeren                         ;;;
1224;WP1556    ;Hardenberg                         ;;;
1225;WP1960    ;Lopik                              ;;;
1226;WP1961    ;Lopik                              ;;;
1227;WP3449    ;Loppersum                          ;;;
1228;WP3239    ;Delfzijl                           ;;;
1229;WP1713    ;Losser                             ;;;
1230;WP1033    ;Horst aan de Maas                  ;;;
1231;WP2262    ;Marum                              ;;;
1232;WP1353    ;Midden-Groningen                   ;;;
1233;WP2183    ;Heerenveen                         ;;;
1234;WP2765    ;Ede                                ;;;
1235;WP1104    ;Stede Broec                        ;;;
1236;WP2177    ;Grootegast                         ;;;
1237;WP2517    ;Hollands Kroon                     ;;;
1238;WP1714    ;Losser                             ;;;
1239;WP1273    ;Noordoostpolder                    ;;;
1240;WP1557    ;Hardenberg                         ;;;
1241;WP1494    ;Raalte                             ;;;
1242;WP3351    ;Opsterland                         ;;;
1243;WP1458    ;Bergeijk                           ;;;
1244;WP2026    ;Sudwest-Fryslan                    ;;;
1245;WP1568    ;Cranendonck                        ;;;
1246;WP3340    ;Utrechtse Heuvelrug                ;;;
1247;WP3341    ;Utrechtse Heuvelrug                ;;;
1248;WP2064    ;Stichtse Vecht                     ;;;
1249;WP2936    ;De Bilt                            ;;;
1250;WP1772    ;West Maas en Waal                  ;;;
1251;WP1920    ;Maasgouw                           ;;;
1252;WP2601    ;Peel en Maas                       ;;;
1253;WP2382    ;Binnenmaas                         ;;;
1254;WP2658    ;Westland                           ;;;
1255;WP1218    ;Boxmeer                            ;;;
1256;WP2806    ;Midden-Delfland                    ;;;
1257;WP1069    ;Maassluis                          ;;;
1258;WP1406    ;Maastricht                         ;;;
1259;WP1672    ;Beek                               ;;;
1260;WP3084    ;Rotterdam                          ;;;
1261;WP3252    ;Oss                                ;;;
1262;WP2577    ;Drimmelen                          ;;;
1263;WP1760    ;Ooststellingwerf                   ;;;
1264;WP2318    ;Sudwest-Fryslan                    ;;;
1265;WP3494    ;Heumen                             ;;;
1266;WP1290    ;Tubbergen                          ;;;
1267;WP1291    ;Tubbergen                          ;;;
1268;WP2027    ;Leeuwarden                         ;;;
1269;WP3016    ;Midden-Drenthe                     ;;;
1270;WP3471    ;Oss                                ;;;
1271;WP1694    ;Eijsden-Margraten                  ;;;
1272;WP2043    ;Echt-Susteren                      ;;;
1273;WP1448    ;Laarbeek                           ;;;
1274;WP1292    ;Tubbergen                          ;;;
1275;WP1558    ;Hardenberg                         ;;;
1276;WP1493    ;Raalte                             ;;;
1277;WP2230    ;Oost Gelre                         ;;;
1278;WP2705    ;Steenwijkerland                    ;;;
1279;WP1444    ;Hof van Twente                     ;;;
1280;WP1943    ;Waterland                          ;;;
1281;WP3556    ;Alkmaar                            ;;;
1282;WP1274    ;Noordoostpolder                    ;;;
1283;WP1383    ;Olst-Wijhe                         ;;;
1284;WP3208    ;Ferwerderadiel                     ;;;
1285;WP2730    ;Waadhoeke                          ;;;
1286;WP2263    ;Marum                              ;;;
1287;WP1170    ;Aa en Hunze                        ;;;
1288;WP2200    ;Zwartewaterland                    ;;;
1289;WP2901    ;Kampen                             ;;;
1290;WP1641    ;Noordenveld                        ;;;
1291;WP3380    ;Buren                              ;;;
1292;WP1231    ;Gulpen-Wittem                      ;;;
1293;WP3151    ;Medemblik                          ;;;
1294;WP2277    ;Midden-Groningen                   ;;;
1295;WP3240    ;Delfzijl                           ;;;
1296;WP2108    ;Zederik                            ;;;
1297;WP1858    ;Horst aan de Maas                  ;;;
1298;WP3297    ;Utrecht                            ;;;
1299;WP1463    ;Meerssen                           ;;;
1300;WP3488    ;Groningen                          ;;;
1301;WP1955    ;Aalburg                            ;;;
1302;WP1584    ;Oude IJsselstreek                  ;;;
1303;WP3251    ;Oss                                ;;;
1304;WP2140    ;Peel en Maas                       ;;;
1305;WP1034    ;Horst aan de Maas                  ;;;
1306;WP2591    ;Roerdalen                          ;;;
1307;WP2780    ;Veere                              ;;;
1308;WP2379    ;Goeree-Overflakkee                 ;;;
1309;WP2731    ;Waadhoeke                          ;;;
1310;WP3421    ;De Marne                           ;;;
1311;WP1082    ;Meppel                             ;;;
1312;WP2157    ;Coevorden                          ;;;
1313;WP2847    ;Onderbanken                        ;;;
1314;WP2331    ;Venray                             ;;;
1315;WP3530    ;Geldermalsen                       ;;;
1316;WP1035    ;Horst aan de Maas                  ;;;
1317;WP3402    ;Dongeradeel                        ;;;
1318;WP1695    ;Eijsden-Margraten                  ;;;
1319;WP2801    ;Mook en Middelaar                  ;;;
1320;WP1007    ;Middelburg                         ;;;
1321;WP3143    ;Goeree-Overflakkee                 ;;;
1322;WP1840    ;Edam-Volendam                      ;;;
1323;WP3450    ;Loppersum                          ;;;
1324;WP2170    ;Beemster                           ;;;
1325;WP2434    ;Hollands Kroon                     ;;;
1326;WP2926    ;Tynaarlo                           ;;;
1327;WP2892    ;Harlingen                          ;;;
1328;WP2619    ;Terschelling                       ;;;
1329;WP1897    ;Oldambt                            ;;;
1330;WP2343    ;Leek                               ;;;
1331;WP3152    ;Medemblik                          ;;;
1332;WP1199    ;Leeuwarden                         ;;;
1333;WP1127    ;Geldrop-Mierlo                     ;;;
1334;WP3549    ;De Ronde Venen                     ;;;
1335;WP2383    ;Binnenmaas                         ;;;
1336;WP2191    ;Heerenveen                         ;;;
1337;WP2091    ;Gemert-Bakel                       ;;;
1338;WP1976    ;Mill en Sint Hubert                ;;;
1339;WP2289    ;Berg en Dal                        ;;;
1340;WP2479    ;Gennep                             ;;;
1341;WP3333    ;Waadhoeke                          ;;;
1342;WP1678    ;De Fryske Marren                   ;;;
1343;WP3403    ;Dongeradeel                        ;;;
1344;WP3054    ;Loon op Zand                       ;;;
1345;WP1322    ;Moerdijk                           ;;;
1346;WP2647    ;Oisterwijk                         ;;;
1347;WP1212    ;Zuidplas                           ;;;
1348;WP1593    ;Roosendaal                         ;;;
1349;WP1983    ;Molenwaard                         ;;;
1350;WP2802    ;Mook en Middelaar                  ;;;
1351;WP2069    ;Gilze en Rijen                     ;;;
1352;WP1967    ;Sudwest-Fryslan                    ;;;
1353;WP1944    ;Waterland                          ;;;
1354;WP2659    ;Westland                           ;;;
1355;WP1964    ;Montfoort                          ;;;
1356;WP2592    ;Roerdalen                          ;;;
1357;WP2803    ;Mook en Middelaar                  ;;;
1358;WP2796    ;Strijen                            ;;;
1359;WP1244    ;Zuidplas                           ;;;
1360;WP1464    ;Meerssen                           ;;;
1361;WP3404    ;Dongeradeel                        ;;;
1362;WP2093    ;Gemert-Bakel                       ;;;
1363;WP3632    ;Gooise Meren                       ;;;
1364;WP1519    ;Gooise Meren                       ;;;
1365;WP2446    ;Tytsjerksteradiel                  ;;;
1366;WP1725    ;Weststellingwerf                   ;;;
1367;WP3312    ;Kollumerland en Nieuwkruisland     ;;;
1368;WP2816    ;Sittard-Geleen                     ;;;
1369;WP2278    ;Midden-Groningen                   ;;;
1370;WP3077    ;Stadskanaal                        ;;;
1371;WP3075    ;Stadskanaal                        ;;;
1372;WP2660    ;Westland                           ;;;
1373;WP1052    ;Gooise Meren                       ;;;
1374;WP1278    ;Noordoostpolder                    ;;;
1375;WP3497    ;Heumen                             ;;;
1376;WP2633    ;Zaltbommel                         ;;;
1377;WP3003    ;Wijdemeren                         ;;;
1378;WP2706    ;Steenwijkerland                    ;;;
1379;WP2037    ;Nederweert                         ;;;
1380;WP2039    ;Nederweert                         ;;;
1381;WP1656    ;Berkelland                         ;;;
1382;WP2952    ;Leudal                             ;;;
1383;WP3363    ;Neerijnen                          ;;;
1384;WP2953    ;Leudal                             ;;;
1385;WP1777    ;Deurne                             ;;;
1386;WP3261    ;Oss                                ;;;
1387;WP3262    ;Oss                                ;;;
1388;WP3603    ;Heerenveen                         ;;;
1389;WP2588    ;Ameland                            ;;;
1390;WP3405    ;Dongeradeel                        ;;;
1391;WP1068    ;Bladel                             ;;;
1392;WP1583    ;Oude IJsselstreek                  ;;;
1393;WP3406    ;Dongeradeel                        ;;;
1394;WP3153    ;Medemblik                          ;;;
1395;WP2264    ;Marum                              ;;;
1396;WP2121    ;Zuidhorn                           ;;;
1397;WP2178    ;Grootegast                         ;;;
1398;WP3422    ;De Marne                           ;;;
1399;WP1642    ;Noordenveld                        ;;;
1400;WP1171    ;Aa en Hunze                        ;;;
1401;WP1421    ;Oldambt                            ;;;
1402;WP1009    ;Middelburg                         ;;;
1403;WP1499    ;Raalte                             ;;;
1404;WP3093    ;Hulst                              ;;;
1405;WP1894    ;Oldambt                            ;;;
1406;WP2634    ;Zaltbommel                         ;;;
1407;WP1993    ;Emmen                              ;;;
1408;WP3018    ;Midden-Drenthe                     ;;;
1409;WP2887    ;Korendijk                          ;;;
1410;WP1797    ;Borger-Odoorn                      ;;;
1411;WP1994    ;Emmen                              ;;;
1412;WP1259    ;Borsele                            ;;;
1413;WP2518    ;Hollands Kroon                     ;;;
1414;WP1398    ;Pekela                             ;;;
1415;WP3037    ;Kaag en Braassem                   ;;;
1416;WP2496    ;Heerenveen                         ;;;
1417;WP1172    ;Aa en Hunze                        ;;;
1418;WP1108    ;Nieuwegein                         ;;;
1419;WP2194    ;Heerenveen                         ;;;
1420;WP2216    ;Werkendam                          ;;;
1421;WP1394    ;Stichtse Vecht                     ;;;
1422;WP2666    ;Bodegraven-Reeuwijk                ;;;
1423;WP2680    ;Schouwen-Duiveland                 ;;;
1424;WP1016    ;Zuidplas                           ;;;
1425;WP1815    ;Hoogeveen                          ;;;
1426;WP3017    ;Midden-Drenthe                     ;;;
1427;WP2221    ;Stichtse Vecht                     ;;;
1428;WP2187    ;Heerenveen                         ;;;
1429;WP3144    ;Goeree-Overflakkee                 ;;;
1430;WP2667    ;Nieuwkoop                          ;;;
1431;WP3502    ;Heusden                            ;;;
1432;WP2111    ;Zederik                            ;;;
1433;WP1816    ;Hoogeveen                          ;;;
1434;WP2158    ;Coevorden                          ;;;
1435;WP2795    ;Molenwaard                         ;;;
1436;WP1239    ;Dalfsen                            ;;;
1437;WP1896    ;Oldambt                            ;;;
1438;WP1807    ;Molenwaard                         ;;;
1439;WP1643    ;Noordenveld                        ;;;
1440;WP1995    ;Emmen                              ;;;
1441;WP2047    ;Echt-Susteren                      ;;;
1442;WP2670    ;Nieuwkoop                          ;;;
1443;WP1602    ;Haarlemmermeer                     ;;;
1444;WP2969    ;Sluis                              ;;;
1445;WP1404    ;Steenbergen                        ;;;
1446;WP1996    ;Emmen                              ;;;
1447;WP2122    ;Zuidhorn                           ;;;
1448;WP2569    ;Wijchen                            ;;;
1449;WP2222    ;Stichtse Vecht                     ;;;
1450;WP3330    ;Waadhoeke                          ;;;
1451;WP3352    ;Opsterland                         ;;;
1452;WP2607    ;Voorst                             ;;;
1453;WP1761    ;Ooststellingwerf                   ;;;
1454;WP3284    ;Smallingerland                     ;;;
1455;WP3521    ;De Fryske Marren                   ;;;
1456;WP1726    ;Weststellingwerf                   ;;;
1457;WP1727    ;Weststellingwerf                   ;;;
1458;WP1728    ;Weststellingwerf                   ;;;
1459;WP1679    ;De Fryske Marren                   ;;;
1460;WP3116    ;Westerveld                         ;;;
1461;WP1729    ;Weststellingwerf                   ;;;
1462;WP1083    ;Meppel                             ;;;
1463;WP1972    ;Sudwest-Fryslan                    ;;;
1464;WP3606    ;Nijkerk                            ;;;
1465;WP3607    ;Nijkerk                            ;;;
1466;WP2414    ;Sudwest-Fryslan                    ;;;
1467;WP1173    ;Aa en Hunze                        ;;;
1468;WP3030    ;Nijmegen                           ;;;
1469;WP3584    ;Hellendoorn                        ;;;
1470;WP1591    ;Roosendaal                         ;;;
1471;WP1260    ;Borsele                            ;;;
1472;WP3062    ;Bernheze                           ;;;
1473;WP2450    ;Tytsjerksteradiel                  ;;;
1474;WP1174    ;Aa en Hunze                        ;;;
1475;WP1696    ;Eijsden-Margraten                  ;;;
1476;WP2171    ;Beemster                           ;;;
1477;WP2279    ;Midden-Groningen                   ;;;
1478;WP1905    ;Alkmaar                            ;;;
1479;WP3070    ;Oldebroek                          ;;;
1480;WP1436    ;Giessenlanden                      ;;;
1481;WP2668    ;Nieuwkoop                          ;;;
1482;WP2681    ;Schouwen-Duiveland                 ;;;
1483;WP1325    ;Moerdijk                           ;;;
1484;WP2123    ;Zuidhorn                           ;;;
1485;WP1268    ;Haren                              ;;;
1486;WP1118    ;Langedijk                          ;;;
1487;WP1817    ;Hoogeveen                          ;;;
1488;WP2159    ;Coevorden                          ;;;
1489;WP2682    ;Schouwen-Duiveland                 ;;;
1490;WP2265    ;Marum                              ;;;
1491;WP2061    ;Noordwijk                          ;;;
1492;WP1927    ;Noordwijkerhout                    ;;;
1493;WP2830    ;Bedum                              ;;;
1494;WP1730    ;Weststellingwerf                   ;;;
1495;WP1142    ;Pijnacker-Nootdorp                 ;;;
1496;WP1644    ;Noordenveld                        ;;;
1497;WP1090    ;Wierden                            ;;;
1498;WP2136    ;Nuenen, Gerwen en Nederwetten      ;;;
1499;WP2266    ;Marum                              ;;;
1500;WP3611    ;'s-Hertogenbosch                   ;;;
1501;WP2372    ;Cromstrijen                        ;;;
1502;WP2954    ;Leudal                             ;;;
1503;WP2982    ;Nunspeet                           ;;;
1504;WP2358    ;Nuth                               ;;;
1505;WP1411    ;Dinkelland                         ;;;
1506;WP2817    ;Sittard-Geleen                     ;;;
1507;WP1187    ;Koggenland                         ;;;
1508;WP1097    ;Neder-Betuwe                       ;;;
1509;WP2604    ;Bunnik                             ;;;
1510;WP1849    ;Uden                               ;;;
1511;WP1798    ;Borger-Odoorn                      ;;;
1512;WP1799    ;Borger-Odoorn                      ;;;
1513;WP1219    ;Boxmeer                            ;;;
1514;WP2744    ;Oegstgeest                         ;;;
1515;WP1347    ;Epe                                ;;;
1516;WP2443    ;Tytsjerksteradiel                  ;;;
1517;WP1489    ;Hollands Kroon                     ;;;
1518;WP3506    ;Sudwest-Fryslan                    ;;;
1519;WP1923    ;Maasgouw                           ;;;
1520;WP3470    ;Oss                                ;;;
1521;WP3604    ;Venray                             ;;;
1522;WP2101    ;Schinnen                           ;;;
1523;WP1207    ;Oirschot                           ;;;
1524;WP2646    ;Oisterwijk                         ;;;
1525;WP2859    ;Deventer                           ;;;
1526;WP1529    ;Bronckhorst                        ;;;
1527;WP1762    ;Ooststellingwerf                   ;;;
1528;WP3071    ;Oldebroek                          ;;;
1529;WP1731    ;Weststellingwerf                   ;;;
1530;WP1732    ;Weststellingwerf                   ;;;
1531;WP2124    ;Zuidhorn                           ;;;
1532;WP2179    ;Grootegast                         ;;;
1533;WP1733    ;Weststellingwerf                   ;;;
1534;WP2707    ;Steenwijkerland                    ;;;
1535;WP1668    ;Oldenzaal                          ;;;
1536;WP3476    ;Eemsmond                           ;;;
1537;WP2498    ;De Fryske Marren                   ;;;
1538;WP1734    ;Weststellingwerf                   ;;;
1539;WP1379    ;Olst-Wijhe                         ;;;
1540;WP3353    ;Opsterland                         ;;;
1541;WP2930    ;Asten                              ;;;
1542;WP3629    ;Ommen                              ;;;
1543;WP3381    ;Buren                              ;;;
1544;WP2831    ;Bedum                              ;;;
1545;WP2708    ;Steenwijkerland                    ;;;
1546;WP1269    ;Haren                              ;;;
1547;WP3076    ;Stadskanaal                        ;;;
1548;WP2877    ;Berg en Dal                        ;;;
1549;WP2133    ;Goeree-Overflakkee                 ;;;
1550;WP1208    ;Oirschot                           ;;;
1551;WP2960    ;Sluis                              ;;;
1552;WP3464    ;Reimerswaal                        ;;;
1553;WP2957    ;Oosterhout                         ;;;
1554;WP2990    ;Renkum                             ;;;
1555;WP1375    ;Waadhoeke                          ;;;
1556;WP3619    ;Drechterland                       ;;;
1557;WP2614    ;Terschelling                       ;;;
1558;WP2742    ;Texel                              ;;;
1559;WP2160    ;Coevorden                          ;;;
1560;WP1869    ;Overbetuwe                         ;;;
1561;WP3596    ;Oosterhout                         ;;;
1562;WP2683    ;Schouwen-Duiveland                 ;;;
1563;WP1510    ;Drechterland                       ;;;
1564;WP3477    ;Eemsmond                           ;;;
1565;WP3407    ;Dongeradeel                        ;;;
1566;WP1735    ;Weststellingwerf                   ;;;
1567;WP2274    ;Leerdam                            ;;;
1568;WP3451    ;Loppersum                          ;;;
1569;WP1763    ;Ooststellingwerf                   ;;;
1570;WP3072    ;Oldebroek                          ;;;
1571;WP2246    ;De Fryske Marren                   ;;;
1572;WP3554    ;Alkmaar                            ;;;
1573;WP2415    ;Sudwest-Fryslan                    ;;;
1574;WP1841    ;Edam-Volendam                      ;;;
1575;WP2781    ;Veere                              ;;;
1576;WP2285    ;Wormerland                         ;;;
1577;WP3605    ;Venray                             ;;;
1578;WP3408    ;Dongeradeel                        ;;;
1579;WP1076    ;Vlissingen                         ;;;
1580;WP1209    ;Westvoorne                         ;;;
1581;WP1898    ;Oldambt                            ;;;
1582;WP2344    ;Leek                               ;;;
1583;WP3567    ;Medemblik                          ;;;
1584;WP2113    ;Oostzaan                           ;;;
1585;WP1412    ;Dinkelland                         ;;;
1586;WP3285    ;Smallingerland                     ;;;
1587;WP2180    ;Grootegast                         ;;;
1588;WP3364    ;Neerijnen                          ;;;
1589;WP1098    ;Neder-Betuwe                       ;;;
1590;WP3365    ;Neerijnen                          ;;;
1591;WP2082    ;Sint Anthonis                      ;;;
1592;WP2791    ;Opmeer                             ;;;
1593;WP2416    ;Sudwest-Fryslan                    ;;;
1594;WP3155    ;Medemblik                          ;;;
1595;WP3019    ;Midden-Drenthe                     ;;;
1596;WP2189    ;Heerenveen                         ;;;
1597;WP3020    ;Midden-Drenthe                     ;;;
1598;WP2038    ;Nederweert                         ;;;
1599;WP3249    ;Oss                                ;;;
1600;WP1002    ;Woensdrecht                        ;;;
1601;WP3102    ;Hulst                              ;;;
1602;WP2842    ;Vianen                             ;;;
1603;WP2709    ;Steenwijkerland                    ;;;
1604;WP1888    ;Alkmaar                            ;;;
1605;WP2767    ;Ede                                ;;;
1606;WP2480    ;Gennep                             ;;;
1607;WP3628    ;Molenwaard                         ;;;
1608;WP3540    ;Kaag en Braassem                   ;;;
1609;WP1175    ;Aa en Hunze                        ;;;
1610;WP1248    ;Halderberge                        ;;;
1611;WP1413    ;Dinkelland                         ;;;
1612;WP2066    ;Stichtse Vecht                     ;;;
1613;WP1985    ;Molenwaard                         ;;;
1614;WP2793    ;Oud-Beijerland                     ;;;
1615;WP2932    ;Goeree-Overflakkee                 ;;;
1616;WP1599    ;Haarlemmermeer                     ;;;
1617;WP2519    ;Hollands Kroon                     ;;;
1618;WP1397    ;Pekela                             ;;;
1619;WP3039    ;Kaag en Braassem                   ;;;
1620;WP3117    ;Westerveld                         ;;;
1621;WP3328    ;Waadhoeke                          ;;;
1622;WP3286    ;Smallingerland                     ;;;
1623;WP1680    ;De Fryske Marren                   ;;;
1624;WP2417    ;Sudwest-Fryslan                    ;;;
1625;WP3522    ;De Fryske Marren                   ;;;
1626;WP2195    ;Heerenveen                         ;;;
1627;WP1261    ;Borsele                            ;;;
1628;WP1681    ;De Fryske Marren                   ;;;
1629;WP1320    ;Moerdijk                           ;;;
1630;WP2917    ;Tynaarlo                           ;;;
1631;WP1246    ;Halderberge                        ;;;
1632;WP1188    ;Koggenland                         ;;;
1633;WP1388    ;Hellevoetsluis                     ;;;
1634;WP2129    ;Ouder-Amstel                       ;;;
1635;WP2373    ;Krimpenerwaard                     ;;;
1636;WP2233    ;Westerwolde                        ;;;
1637;WP2743    ;Texel                              ;;;
1638;WP3478    ;Eemsmond                           ;;;
1639;WP2188    ;Heerenveen                         ;;;
1640;WP2763    ;Schagen                            ;;;
1641;WP2134    ;Goeree-Overflakkee                 ;;;
1642;WP1910    ;Oudewater                          ;;;
1643;WP1423    ;Oldambt                            ;;;
1644;WP3519    ;Heusden                            ;;;
1645;WP3290    ;Schagen                            ;;;
1646;WP1119    ;Langedijk                          ;;;
1647;WP2350    ;Alkmaar                            ;;;
1648;WP2077    ;Tholen                             ;;;
1649;WP3313    ;Kollumerland en Nieuwkruisland     ;;;
1650;WP2684    ;Schouwen-Duiveland                 ;;;
1651;WP2500    ;De Fryske Marren                   ;;;
1652;WP2501    ;De Fryske Marren                   ;;;
1653;WP3496    ;Heumen                             ;;;
1654;WP3588    ;Utrechtse Heuvelrug                ;;;
1655;WP1715    ;Losser                             ;;;
1656;WP3263    ;Oss                                ;;;
1657;WP1220    ;Boxmeer                            ;;;
1658;WP1354    ;Midden-Groningen                   ;;;
1659;WP1132    ;Terneuzen                          ;;;
1660;WP2653    ;Bloemendaal                        ;;;
1661;WP1262    ;Borsele                            ;;;
1662;WP2710    ;Steenwijkerland                    ;;;
1663;WP3409    ;Dongeradeel                        ;;;
1664;WP2979    ;Zevenaar                           ;;;
1665;WP3443    ;Peel en Maas                       ;;;
1666;WP1911    ;Oudewater                          ;;;
1667;WP1477    ;Papendrecht                        ;;;
1668;WP2818    ;Sittard-Geleen                     ;;;
1669;WP1176    ;Aa en Hunze                        ;;;
1670;WP2319    ;Sudwest-Fryslan                    ;;;
1671;WP2910    ;Tynaarlo                           ;;;
1672;WP1645    ;Noordenveld                        ;;;
1673;WP1368    ;Waadhoeke                          ;;;
1674;WP1646    ;Noordenveld                        ;;;
1675;WP1736    ;Weststellingwerf                   ;;;
1676;WP3085    ;Rotterdam                          ;;;
1677;WP2878    ;Berg en Dal                        ;;;
1678;WP3118    ;Westerveld                         ;;;
1679;WP1818    ;Hoogeveen                          ;;;
1680;WP2761    ;Schagen                            ;;;
1681;WP1133    ;Terneuzen                          ;;;
1682;WP2320    ;Sudwest-Fryslan                    ;;;
1683;WP2888    ;Korendijk                          ;;;
1684;WP3423    ;De Marne                           ;;;
1685;WP1374    ;Waadhoeke                          ;;;
1686;WP2125    ;Zuidhorn                           ;;;
1687;WP1141    ;Pijnacker-Nootdorp                 ;;;
1688;WP2321    ;Sudwest-Fryslan                    ;;;
1689;WP2804    ;Mook en Middelaar                  ;;;
1690;WP2635    ;Zaltbommel                         ;;;
1691;WP2661    ;Westland                           ;;;
1692;WP2698    ;Steenwijkerland                    ;;;
1693;WP1962    ;Lopik                              ;;;
1694;WP2363    ;Albrandswaard                      ;;;
1695;WP2072    ;Tholen                             ;;;
1696;WP2533    ;Sudwest-Fryslan                    ;;;
1697;WP1830    ;Ten Boer                           ;;;
1698;WP2593    ;Roerdalen                          ;;;
1699;WP1705    ;Breda                              ;;;
1700;WP2906    ;Druten                             ;;;
1701;WP2915    ;Tynaarlo                           ;;;
1702;WP1049    ;Staphorst                          ;;;
1703;WP1749    ;Edam-Volendam                      ;;;
1704;WP1946    ;Waterland                          ;;;
1705;WP3103    ;Purmerend                          ;;;
1706;WP1330    ;Landsmeer                          ;;;
1707;WP2102    ;Schinnen                           ;;;
1708;WP1003    ;Woensdrecht                        ;;;
1709;WP3580    ;Putten                             ;;;
1710;WP2384    ;Binnenmaas                         ;;;
1711;WP1491    ;Raalte                             ;;;
1712;WP1752    ;Geertruidenberg                    ;;;
1713;WP1750    ;Geertruidenberg                    ;;;
1714;WP3410    ;Dongeradeel                        ;;;
1715;WP1559    ;Hardenberg                         ;;;
1716;WP3563    ;Apeldoorn                          ;;;
1717;WP2534    ;Sudwest-Fryslan                    ;;;
1718;WP1870    ;Overbetuwe                         ;;;
1719;WP1854    ;Voerendaal                         ;;;
1720;WP2470    ;Winsum                             ;;;
1721;WP3254    ;Oss                                ;;;
1722;WP3382    ;Buren                              ;;;
1723;WP1764    ;Ooststellingwerf                   ;;;
1724;WP3272    ;Dantumadiel                        ;;;
1725;WP2028    ;Sudwest-Fryslan                    ;;;
1726;WP2535    ;Leeuwarden                         ;;;
1727;WP1852    ;Landerd                            ;;;
1728;WP2476    ;Bodegraven-Reeuwijk                ;;;
1729;WP1227    ;Gulpen-Wittem                      ;;;
1730;WP3209    ;Ferwerderadiel                     ;;;
1731;WP1663    ;Berkelland                         ;;;
1732;WP2685    ;Schouwen-Duiveland                 ;;;
1733;WP2991    ;Renkum                             ;;;
1734;WP2141    ;Renswoude                          ;;;
1735;WP3137    ;Lingewaard                         ;;;
1736;WP2970    ;Sluis                              ;;;
1737;WP1877    ;Reusel-De Mierden                  ;;;
1738;WP1293    ;Tubbergen                          ;;;
1739;WP1949    ;Beesel                             ;;;
1740;WP1528    ;Bronckhorst                        ;;;
1741;WP1501    ;Rheden                             ;;;
1742;WP2393    ;Assen                              ;;;
1743;WP1560    ;Hardenberg                         ;;;
1744;WP1561    ;Hardenberg                         ;;;
1745;WP1399    ;Rhenen                             ;;;
1746;WP3528    ;Geldermalsen                       ;;;
1747;WP2362    ;Albrandswaard                      ;;;
1748;WP2562    ;Ridderkerk                         ;;;
1749;WP1370    ;Waadhoeke                          ;;;
1750;WP2881    ;Goirle                             ;;;
1751;WP2029    ;Sudwest-Fryslan                    ;;;
1752;WP1459    ;Bergeijk                           ;;;
1753;WP1657    ;Berkelland                         ;;;
1754;WP2070    ;Gilze en Rijen                     ;;;
1755;WP1221    ;Boxmeer                            ;;;
1756;WP2087    ;Sint Anthonis                      ;;;
1757;WP3040    ;Kaag en Braassem                   ;;;
1758;WP1708    ;Katwijk                            ;;;
1759;WP3553    ;Alkmaar                            ;;;
1760;WP3546    ;Kaag en Braassem                   ;;;
1761;WP1682    ;De Fryske Marren                   ;;;
1762;WP3490    ;Zundert                            ;;;
1763;WP1601    ;Haarlemmermeer                     ;;;
1764;WP1566    ;Rijssen-Holten                     ;;;
1765;WP2459    ;Rijswijk                           ;;;
1766;WP3383    ;Buren                              ;;;
1767;WP3303    ;Woudrichem                         ;;;
1768;WP3465    ;Reimerswaal                        ;;;
1769;WP3270    ;Dantumadiel                        ;;;
1770;WP2094    ;Gemert-Bakel                       ;;;
1771;WP1077    ;Vlissingen                         ;;;
1772;WP1210    ;Westvoorne                         ;;;
1773;WP1647    ;Noordenveld                        ;;;
1774;WP3633    ;Noordenveld                        ;;;
1775;WP1649    ;Noordenveld                        ;;;
1776;WP3042    ;Kaag en Braassem                   ;;;
1777;WP2281    ;Roermond                           ;;;
1778;WP1084    ;Meppel                             ;;;
1779;WP2955    ;Leudal                             ;;;
1780;WP2502    ;De Fryske Marren                   ;;;
1781;WP1177    ;Aa en Hunze                        ;;;
1782;WP3479    ;Eemsmond                           ;;;
1783;WP1588    ;Roosendaal                         ;;;
1784;WP2046    ;Echt-Susteren                      ;;;
1785;WP1596    ;'s-Hertogenbosch                   ;;;
1786;WP1414    ;Dinkelland                         ;;;
1787;WP1630    ;Maasdriel                          ;;;
1788;WP1997    ;Emmen                              ;;;
1789;WP2503    ;De Fryske Marren                   ;;;
1790;WP2504    ;De Fryske Marren                   ;;;
1791;WP3086    ;Rotterdam                          ;;;
1792;WP2364    ;Albrandswaard                      ;;;
1793;WP3287    ;Smallingerland                     ;;;
1794;WP3480    ;Eemsmond                           ;;;
1795;WP2505    ;De Fryske Marren                   ;;;
1796;WP1047    ;Staphorst                          ;;;
1797;WP2437    ;Rotterdam                          ;;;
1798;WP1598    ;Haarlemmermeer                     ;;;
1799;WP2927    ;Rozendaal                          ;;;
1800;WP2581    ;Rucphen                            ;;;
1801;WP1683    ;De Fryske Marren                   ;;;
1802;WP3119    ;Westerveld                         ;;;
1803;WP3169    ;De Wolden                          ;;;
1804;WP3170    ;De Wolden                          ;;;
1805;WP3215    ;Geldermalsen                       ;;;
1806;WP1282    ;Noordoostpolder                    ;;;
1807;WP1658    ;Berkelland                         ;;;
1808;WP2445    ;Tytsjerksteradiel                  ;;;
1809;WP2126    ;Zuidhorn                           ;;;
1810;WP1415    ;Dinkelland                         ;;;
